C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_17_572.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_17_572.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_17_572.jpg, 0, 0, 0, 1.110354
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_17_678.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_17_678.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_17_678.jpg, 0, 0, 0, 1.097008
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_17_780.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_17_780.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_17_780.jpg, 0, 0, 0, 1.086009
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_17_880.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_17_880.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_17_880.jpg, 0, 0, 0, 1.07512
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_17_984.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_17_984.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_17_984.jpg, 0, 0, 0, 1.064341
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_18_089.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_18_089.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_18_089.jpg, 0, 0, 0, 1.05367
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_18_189.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_18_189.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_18_189.jpg, 0, 0, 0, 1.043106
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_18_292.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_18_292.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_18_292.jpg, 0, 0, 0, 1.032648
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_18_395.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_18_395.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_18_395.jpg, 0, 0, 0, 1.022295
C:\Users\ACER\Desktop\data\IMG\center_2021_04_18_16_37_18_498.jpg, C:\Users\ACER\Desktop\data\IMG\left_2021_04_18_16_37_18_498.jpg, C:\Users\ACER\Desktop\data\IMG\right_2021_04_18_16_37_18_498.jpg, 0, 0, 0, 1.010008
